epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6593,0.4959,0.6454,0.7423,0.8304
2,0.5493,0.4675,0.7199,0.7695,0.852
3,0.5284,0.4443,0.737,0.768,0.8681
4,0.4837,0.4327,0.7524,0.79,0.8759
5,0.4774,0.4259,0.7595,0.7797,0.8782
6,0.4501,0.417,0.77,0.7805,0.8841
7,0.4517,0.4099,0.7726,0.7863,0.8873
8,0.4386,0.4092,0.7851,0.7878,0.8883
9,0.4288,0.4161,0.803,0.7841,0.888
10,0.4063,0.4123,0.801,0.7812,0.8894
11,0.3821,0.3993,0.813,0.7981,0.8938
12,0.3685,0.4287,0.8236,0.7797,0.8888
13,0.3621,0.409,0.8265,0.7922,0.8959
14,0.3625,0.4289,0.8282,0.7885,0.8966
15,0.3496,0.406,0.8335,0.8069,0.8965
16,0.3416,0.4268,0.8383,0.7944,0.8961
17,0.3269,0.4152,0.8521,0.8098,0.9026
18,0.3203,0.4368,0.8508,0.7907,0.9006
19,0.3143,0.4113,0.8594,0.804,0.9005
20,0.2938,0.4298,0.866,0.8025,0.8993
21,0.2864,0.4229,0.868,0.8062,0.9038
22,0.277,0.4204,0.8744,0.8164,0.9058
23,0.2793,0.4122,0.8757,0.8091,0.9081
24,0.2607,0.4185,0.8823,0.8113,0.9047
25,0.2634,0.4332,0.8814,0.804,0.9031
26,0.2481,0.4291,0.8945,0.8142,0.9089
27,0.2517,0.4878,0.8873,0.7937,0.903
28,0.2385,0.4609,0.8948,0.801,0.9054
29,0.2296,0.4585,0.9049,0.8076,0.9023
30,0.2206,0.4764,0.9047,0.8091,0.9097
31,0.2064,0.4908,0.911,0.8018,0.9056
32,0.2046,0.4867,0.9132,0.8142,0.9062
33,0.2216,0.5004,0.909,0.8084,0.9094
34,0.1933,0.5077,0.9196,0.8157,0.9087
35,0.1855,0.509,0.9192,0.8098,0.9033
36,0.1909,0.5425,0.9163,0.7959,0.9077
37,0.1701,0.524,0.9273,0.8054,0.9044
38,0.1842,0.522,0.9198,0.8128,0.9079
39,0.185,0.5362,0.9262,0.8062,0.9062
40,0.158,0.5929,0.9354,0.8025,0.9038
41,0.1604,0.5668,0.9352,0.8091,0.9075
42,0.1583,0.5912,0.9398,0.8084,0.907
43,0.1536,0.5863,0.9414,0.8113,0.9073
44,0.1323,0.6007,0.9459,0.8032,0.9047
45,0.1379,0.6007,0.9398,0.7952,0.9065
46,0.127,0.6389,0.9508,0.7996,0.9059
47,0.1482,0.6486,0.947,0.8032,0.9042
48,0.1284,0.5988,0.9479,0.8157,0.9075
49,0.1333,0.6197,0.944,0.7981,0.9064
50,0.1334,0.6369,0.9495,0.8062,0.9063
