epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6465,0.5189,0.6646,0.7269,0.8144
2,0.5495,0.5028,0.7214,0.7291,0.8345
3,0.5291,0.4817,0.7419,0.7548,0.8499
4,0.4925,0.4695,0.7494,0.7489,0.8567
5,0.4753,0.4671,0.7654,0.7577,0.8633
6,0.4612,0.4611,0.7757,0.7768,0.8689
7,0.4446,0.4394,0.7762,0.7805,0.8758
8,0.4242,0.4388,0.792,0.7856,0.8793
9,0.4043,0.4495,0.8012,0.7805,0.8789
10,0.4101,0.428,0.8095,0.8106,0.8872
11,0.3875,0.4287,0.8082,0.7959,0.8887
12,0.3825,0.4311,0.8131,0.8091,0.8915
13,0.361,0.4536,0.83,0.7893,0.8885
14,0.3535,0.4506,0.8331,0.7944,0.8938
15,0.3516,0.4357,0.8363,0.8157,0.8943
16,0.327,0.4388,0.8517,0.8157,0.8951
17,0.328,0.4247,0.8458,0.8201,0.8978
18,0.3156,0.4779,0.8577,0.79,0.8886
19,0.3004,0.4692,0.8647,0.7981,0.898
20,0.2898,0.4358,0.8741,0.8135,0.8999
21,0.2853,0.5059,0.87,0.8003,0.8919
22,0.2708,0.4554,0.8778,0.8069,0.8975
23,0.2795,0.4686,0.8794,0.815,0.899
24,0.2618,0.4464,0.8856,0.8084,0.9017
25,0.2487,0.4505,0.8924,0.8238,0.9016
26,0.2487,0.4694,0.889,0.8091,0.9015
27,0.2285,0.5152,0.8992,0.8106,0.8975
28,0.2385,0.4742,0.9003,0.8076,0.8946
29,0.2312,0.5027,0.9055,0.8054,0.9019
30,0.2279,0.5169,0.9077,0.8106,0.9005
31,0.2124,0.5167,0.9095,0.8135,0.8987
32,0.2045,0.5347,0.9101,0.8223,0.8979
33,0.2038,0.5986,0.9148,0.8003,0.8974
34,0.1922,0.5676,0.9216,0.8128,0.9013
35,0.1886,0.5613,0.9178,0.8098,0.8983
36,0.1792,0.5425,0.9253,0.8164,0.8966
37,0.1699,0.5619,0.9317,0.8164,0.9003
38,0.1636,0.572,0.9336,0.8091,0.9003
39,0.1561,0.6196,0.935,0.804,0.8945
40,0.1832,0.6838,0.9308,0.801,0.8971
41,0.1527,0.6583,0.9392,0.8025,0.8975
42,0.1357,0.6283,0.9451,0.8054,0.8999
43,0.1357,0.6214,0.9435,0.8142,0.8999
44,0.1404,0.6148,0.9446,0.8084,0.9014
45,0.1361,0.6412,0.9481,0.8098,0.898
46,0.1376,0.6586,0.9438,0.8128,0.9002
47,0.133,0.6104,0.9479,0.8106,0.901
48,0.1272,0.6651,0.9495,0.8047,0.8989
49,0.1206,0.6539,0.949,0.815,0.8989
