epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6681,0.5169,0.6401,0.7349,0.8137
2,0.5606,0.4853,0.7104,0.7592,0.8395
3,0.5275,0.4777,0.7331,0.7584,0.8461
4,0.4981,0.4628,0.7463,0.7643,0.859
5,0.4774,0.456,0.7647,0.7687,0.865
6,0.4596,0.4511,0.7785,0.7739,0.8657
7,0.4438,0.4368,0.7799,0.7834,0.877
8,0.4354,0.4398,0.7884,0.7812,0.8756
9,0.4182,0.4313,0.7955,0.7944,0.8833
10,0.3983,0.4299,0.8036,0.801,0.8838
11,0.3908,0.4401,0.8117,0.7871,0.886
12,0.3794,0.4255,0.8234,0.79,0.8858
13,0.3629,0.4238,0.83,0.7966,0.8909
14,0.3597,0.4277,0.8306,0.8018,0.8909
15,0.3501,0.4267,0.8381,0.7966,0.8904
16,0.3309,0.4248,0.8443,0.8018,0.8953
17,0.3272,0.4249,0.8497,0.8069,0.8958
18,0.3155,0.4415,0.8537,0.8054,0.8953
19,0.3,0.4495,0.8634,0.7944,0.8951
20,0.2835,0.4301,0.8673,0.8018,0.8979
21,0.2873,0.4403,0.8704,0.8032,0.8961
22,0.2757,0.4643,0.8803,0.7952,0.8926
23,0.2596,0.4652,0.8834,0.7988,0.8928
24,0.2536,0.4633,0.891,0.801,0.8944
25,0.2381,0.473,0.8919,0.8054,0.8985
26,0.2476,0.4857,0.8961,0.7952,0.8938
27,0.2299,0.5087,0.8994,0.8018,0.8996
28,0.2264,0.5253,0.9036,0.7915,0.895
29,0.2184,0.5111,0.9055,0.804,0.8991
30,0.2203,0.5014,0.9055,0.8025,0.8979
31,0.2173,0.4946,0.9077,0.7996,0.8977
32,0.2081,0.5185,0.9117,0.804,0.8999
33,0.1911,0.5172,0.9163,0.8113,0.9003
34,0.1877,0.542,0.9211,0.7996,0.8962
35,0.1706,0.5904,0.9315,0.8084,0.8978
36,0.1954,0.5529,0.9185,0.8018,0.898
37,0.1702,0.5851,0.9246,0.7996,0.8949
38,0.1563,0.5847,0.9356,0.8032,0.8958
39,0.1599,0.5863,0.9361,0.801,0.898
40,0.1543,0.6077,0.9358,0.804,0.8977
41,0.1477,0.597,0.9387,0.8018,0.8979
42,0.1463,0.6501,0.938,0.7974,0.896
43,0.1578,0.6185,0.9394,0.8047,0.8975
44,0.1457,0.6286,0.9418,0.7974,0.8972
45,0.127,0.6586,0.9466,0.8157,0.9002
46,0.1327,0.6356,0.9479,0.8025,0.8984
47,0.1276,0.6438,0.951,0.7996,0.8988
48,0.1271,0.7028,0.9504,0.7959,0.898
49,0.1207,0.6617,0.953,0.8069,0.8976
50,0.1134,0.6845,0.9526,0.8025,0.8971
51,0.1215,0.6957,0.9526,0.8003,0.8943
52,0.1224,0.6947,0.9503,0.8062,0.8973
53,0.1128,0.6796,0.9547,0.804,0.8973
