epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.673,0.5119,0.6489,0.7342,0.8225
2,0.5709,0.4842,0.7107,0.7592,0.847
3,0.5177,0.4688,0.7359,0.7577,0.8545
4,0.503,0.4652,0.7526,0.7628,0.8608
5,0.4816,0.4508,0.7634,0.7702,0.8653
6,0.4648,0.4413,0.7797,0.7805,0.872
7,0.4521,0.4301,0.7764,0.7827,0.8804
8,0.4272,0.4292,0.7942,0.7849,0.8836
9,0.4154,0.4374,0.7961,0.7819,0.8838
10,0.4085,0.4239,0.8032,0.793,0.8875
11,0.3781,0.4244,0.8196,0.7878,0.8905
12,0.3741,0.4234,0.8247,0.8047,0.8927
13,0.3743,0.4443,0.8251,0.7959,0.8893
14,0.3635,0.4447,0.8258,0.7944,0.8945
15,0.3511,0.4239,0.8337,0.7966,0.8915
16,0.3433,0.428,0.835,0.8098,0.8976
17,0.3424,0.4366,0.8447,0.7996,0.895
18,0.3415,0.438,0.8491,0.815,0.9012
19,0.3201,0.4588,0.8537,0.7952,0.8972
20,0.3065,0.4267,0.8561,0.8179,0.9025
21,0.3003,0.4354,0.8596,0.8128,0.9022
22,0.2939,0.4761,0.8743,0.8054,0.9019
23,0.28,0.4538,0.8743,0.8054,0.8965
24,0.2689,0.4563,0.879,0.8135,0.9022
25,0.2731,0.4564,0.8779,0.8054,0.9004
26,0.2507,0.4813,0.889,0.8135,0.9074
27,0.2662,0.4675,0.8856,0.8245,0.9068
28,0.2662,0.4895,0.8866,0.8047,0.9066
29,0.2507,0.4958,0.8923,0.8142,0.9022
30,0.231,0.5077,0.904,0.8201,0.9056
31,0.2165,0.5329,0.9084,0.8113,0.9032
32,0.2237,0.4842,0.904,0.812,0.9041
33,0.2207,0.5619,0.9104,0.8142,0.9018
34,0.2005,0.517,0.9163,0.8098,0.9006
35,0.2041,0.5424,0.9183,0.812,0.9023
36,0.1914,0.5297,0.9205,0.812,0.899
37,0.1819,0.5593,0.9229,0.8113,0.9003
38,0.1808,0.5535,0.9268,0.8128,0.902
39,0.1893,0.5621,0.9284,0.8172,0.9019
40,0.173,0.5813,0.9253,0.8135,0.8995
41,0.1629,0.5614,0.9321,0.8157,0.9024
42,0.162,0.606,0.933,0.8098,0.9016
43,0.1728,0.5931,0.9343,0.8164,0.9038
44,0.147,0.5871,0.9392,0.815,0.9015
45,0.1538,0.625,0.933,0.8128,0.9039
46,0.1505,0.6325,0.9361,0.8069,0.895
